size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
930.5,,0,0,0
931.5,,0,0,0
932.5,,0,0,0
933.5,,0,0,0
934.5,,0,0,0
935.5,,0,0,0
936.5,,0,0,0
937.5,,0,0,0
938.5,,0,0,0
939.5,,0,0,0
940.5,,0,0,0
941.5,,0,0,0
942.5,,0,0,0
943.5,,0,0,0
944.5,,0,0,0
945.5,,0,0,0
946.5,,0,0,0
947.5,,0,0,0
948.5,,0,0,0
949.5,,0,0,0
950.5,,0,0,0
951.5,,0,0,0
952.5,,0,0,0
953.5,,0,0,0
954.5,,0,0,0
955.5,,0,0,0
956.5,,0,0,0
957.5,,0,0,0
958.5,,0,0,0
959.5,,0,0,0
960.5,,0,0,0
961.5,,0,0,0
962.5,,0,0,0
963.5,,0,0,0
964.5,,0,0,0
965.5,,0,0,0
966.5,,0,0,0
967.5,,0,0,0
968.5,,0,0,0
969.5,,0,0,0
970.5,,0,0,0
971.5,,0,0,0
972.5,,0,0,0
973.5,,0,0,0
974.5,,0,0,0
975.5,,0,0,0
976.5,,0,0,0
977.5,,0,0,0
978.5,,0,0,0
979.5,,0,0,0
980.5,,0,0,0
981.5,,0,0,0
982.5,,0,0,0
983.5,,0,0,0
984.5,,0,0,0
985.5,,0,0,0
986.5,,0,0,0
987.5,,0,0,0
988.5,,0,0,0
989.5,,0,0,0
990.5,,0,0,0
991.5,,0,0,0
992.5,,0,0,0
993.5,,0,0,0
994.5,,0,0,0
995.5,,0,0,0
996.5,,0,0,0
997.5,,0,0,0
998.5,,0,0,0
999.5,,0,,0
